0,1,2,3,4,K562_CAGE_128*3_sum
ENSG00000142609,0.0,0.0,0.0,0.0,0.0
ENSG00000142609_1,0.00551,11.1969,0.16468,0.0,0.0
ENSG00000187730,0.0,0.0,0.0,0.0,111.987
ENSG00000067606,0.0,0.0,0.0,0.0,33.832
ENSG00000067606_1,1.9379,0.29503999999999997,2.3823600000000003,0.0,6.8154
ENSG00000067606_2,436.75174999999996,3174.2394000000004,112.99598,3276.0805000000005,0.0
ENSG00000067606_3,40.42510000000001,219.78387999999998,4.451479999999999,344.73939999999993,0.0
ENSG00000162585,372.68221000000005,557.8609799999999,103.90527999999998,562.8790999999999,969.8
ENSG00000157933,36.98701,134.28968000000006,21.78265,164.81949999999995,45.5
ENSG00000157933_1,23.55385,126.61059000000003,12.73855,157.81219999999996,0.0
