0,1,2,3,4,GM12878_CAGE_128*3_sum
ENSG00000187730,0.0,0.0,0.1378,0.0,62.9388
ENSG00000067606,0.7977199999999998,0.0,0.0,0.17112,26.123
ENSG00000067606_1,3.3927200000000006,3.45874,0.1378,1.9057,0.0
ENSG00000067606_2,23.733259999999994,18.437720000000002,1940.7971,2112.2863,5.644
ENSG00000067606_3,0.0,0.0,89.1479,90.94700000000002,0.0
ENSG00000162585,24.65023,0.0,173.92100000000002,131.32235000000003,343.902
ENSG00000157933,15.337809999999996,0.0,107.02790000000002,82.28974,23.132
ENSG00000157933_1,8.60902,0.0,95.89920000000002,75.27534999999999,0.0
ENSG00000116151,349.57563000000005,211.51811999999995,1105.721,1207.9227999999998,67.109
ENSG00000116151_1,7.3523700000000005,0.4249,274.50460000000004,181.65648999999993,83.911
ENSG00000157916,0.0,0.0,0.7844,0.0,936.314
